,row,City,Latitude,Longitude,Temperature (degrees F),Humidity,Clouds (%),Winds Speed
0,0,ous,60.91,61.52,56.08,67,28,1.43
1,1,rikitea,-23.12,-134.97,70.47,81,88,11.88
2,2,bredasdorp,-34.53,20.04,44.6,87,49,6.93
3,3,bluff,-46.6,168.33,39.99,96,100,5.48
4,4,busselton,-33.65,115.33,44.42,83,21,9.33
5,5,hasaki,35.73,140.83,74.14,100,20,4.7
6,7,tuatapere,-46.13,167.68,39.99,96,100,5.32
7,8,dikson,73.51,80.55,46.35,90,74,16.73
8,9,butaritari,3.07,172.79,83.89,76,0,22.75
9,10,pangody,65.85,74.49,54.59,69,0,1.03
10,11,cabo san lucas,22.89,-109.91,91.08,49,5,11.41
11,12,kapaa,22.08,-159.32,81.03,69,40,14.99
12,14,jamestown,42.1,-79.24,69.4,68,90,9.17
13,15,bima,-8.47,118.72,72.82,86,46,4.09
14,16,cape town,-33.93,18.42,49.05,76,40,6.93
15,18,tuktoyaktuk,69.45,-133.04,48.2,81,90,6.93
16,19,cidreira,-30.18,-50.21,63.28,70,0,8.19
17,21,souillac,-20.52,57.52,68.0,72,40,3.36
18,22,sept-iles,50.2,-66.38,62.51,93,90,12.75
19,23,wuda,39.5,106.71,75.65,62,100,11.88
20,24,yerbogachen,61.28,108.01,60.8,68,63,7.65
21,25,punta arenas,-53.15,-70.92,39.09,80,100,9.17
22,26,olafsvik,64.89,-23.71,50.2,90,100,14.09
23,27,sisimiut,66.94,-53.67,48.18,72,14,5.03
24,28,hobart,-42.88,147.33,44.33,87,90,11.41
25,29,arraial do cabo,-22.97,-42.03,74.86,64,0,13.87
26,30,new norfolk,-42.78,147.06,42.67,77,68,3.0
27,31,bairiki,1.33,172.98,82.4,78,75,19.89
28,32,hilo,19.73,-155.09,72.37,83,90,1.59
29,33,arona,28.1,-16.68,74.88,69,20,5.82
30,34,roald,62.58,6.13,61.18,93,75,4.7
31,35,padang,-0.95,100.35,78.51,74,100,3.85
32,36,dingle,11.0,122.67,77.23,88,100,3.27
33,37,castro,-24.79,-50.01,67.28,56,0,3.0
34,38,ausa,41.93,2.25,71.01,86,58,3.0
35,39,lavrentiya,65.58,-171.0,44.94,88,100,7.76
36,40,mar del plata,-38.0,-57.56,67.14,73,90,11.41
